iter	Passed	Remaining
271	403	1079
272	404	1077
273	406	1075
274	407	1073
275	408	1071
276	409	1070
277	411	1068
278	412	1066
279	414	1064
280	415	1062
281	416	1060
282	418	1059
283	420	1058
284	421	1057
285	422	1055
286	424	1053
287	425	1052
288	427	1051
289	428	1049
290	429	1047
291	431	1045
292	432	1043
293	434	1042
294	435	1041
295	437	1039
296	438	1037
297	439	1035
298	440	1033
299	442	1031
300	443	1030
301	445	1028
302	446	1026
303	447	1025
304	449	1023
305	450	1022
306	452	1021
307	453	1019
308	455	1018
309	456	1016
310	457	1014
311	459	1012
312	460	1010
313	461	1008
314	463	1007
315	464	1005
316	466	1005
317	468	1003
318	469	1002
319	471	1000
320	472	999
321	473	997
322	475	996
323	476	994
324	478	992
325	479	991
326	480	989
327	482	988
328	484	987
329	485	986
330	487	984
331	488	983
332	489	981
333	491	979
334	492	978
335	494	976
336	495	974
337	496	972
338	497	970
339	499	969
340	501	968
341	502	966
342	503	964
343	504	962
344	506	961
345	507	959
346	509	957
347	510	956
348	511	954
349	513	953
350	514	951
351	516	950
352	517	948
353	518	946
354	520	944
355	521	943
356	522	941
357	523	939
358	525	937
359	526	935
360	527	933
361	528	932
362	530	931
363	532	930
364	533	928
365	535	927
366	536	925
367	538	924
368	539	922
369	540	920
370	542	919
371	543	918
372	545	916
373	547	915
374	548	914
375	549	912
376	551	910
377	552	909
378	553	907
379	555	907
380	557	905
381	558	903
382	560	902
383	561	900
384	562	899
385	564	898
386	565	896
387	567	895
388	568	893
389	570	891
390	571	890
391	573	888
392	574	886
393	575	885
394	576	883
395	578	882
396	580	881
397	581	879
398	582	877
399	584	876
400	585	874
401	587	873
402	588	871
403	589	869
404	590	868
405	592	866
406	593	864
407	594	863
408	596	862
409	598	860
410	599	858
411	600	857
412	602	855
413	603	854
414	604	852
415	606	850
416	607	849
417	608	847
418	609	845
419	611	844
420	612	842
421	614	841
422	615	839
423	616	837
424	617	836
425	619	834
426	620	832
427	621	830
428	623	829
429	624	827
430	625	826
431	627	825
432	629	824
433	630	822
434	632	821
435	633	819
436	634	818
437	636	816
438	637	814
439	638	813
440	640	811
441	641	809
442	642	808
443	644	807
444	646	805
445	647	804
446	648	802
447	650	801
448	651	799
449	653	798
450	654	797
451	656	795
452	657	794
453	659	792
454	661	791
455	662	790
456	663	788
457	665	787
458	666	785
459	667	783
460	669	782
461	670	781
462	672	779
463	673	777
464	674	776
465	676	775
466	677	773
467	679	772
468	680	770
469	681	769
470	683	767
471	684	765
472	685	764
473	687	762
474	688	761
475	689	759
476	691	758
477	693	756
478	694	755
479	695	753
480	697	752
481	698	750
482	699	749
483	701	747
484	702	745
485	703	744
486	705	742
487	706	741
488	708	739
489	709	738
490	711	737
491	712	735
492	713	733
493	714	732
494	716	730
495	717	729
496	719	727
497	720	726
498	722	725
499	724	724
500	725	722
501	726	721
502	728	719
503	729	718
504	731	716
505	732	715
506	733	713
507	735	712
508	736	710
509	737	708
510	739	707
511	740	706
512	742	704
513	743	703
514	745	701
515	746	700
516	748	699
517	749	697
518	751	696
519	752	694
520	754	693
521	755	692
522	757	690
523	758	689
524	759	687
525	761	685
526	762	684
527	764	683
528	765	681
529	766	679
530	768	678
531	769	676
532	771	675
533	773	674
534	774	673
535	776	672
536	777	670
537	779	669
538	780	667
539	781	665
540	783	664
541	784	662
542	785	661
543	787	659
544	788	658
545	790	657
546	791	655
547	793	654
548	794	652
549	796	651
550	797	649
551	798	648
552	800	646
553	801	645
554	802	643
555	804	642
556	806	641
557	807	639
558	809	638
559	810	637
560	812	635
561	813	634
562	815	632
563	816	631
564	817	629
565	819	628
566	821	627
567	823	626
568	824	624
569	825	623
570	827	621
571	829	620
572	830	618
573	831	617
574	833	615
575	834	614
576	836	612
577	837	611
578	839	610
579	840	608
580	842	607
581	843	605
582	844	604
583	846	602
584	847	601
585	848	599
586	850	598
587	851	596
588	853	595
589	854	594
590	856	592
591	857	590
592	858	589
593	860	587
594	861	586
595	862	584
596	864	583
597	865	581
598	866	580
599	868	579
600	870	577
601	871	576
602	872	574
603	874	573
604	875	571
605	876	570
606	878	568
607	879	566
608	880	565
609	881	563
610	883	562
611	885	561
612	886	559
613	887	558
614	889	556
615	890	555
616	891	553
617	893	552
618	894	550
619	896	549
620	898	548
621	899	546
622	900	545
623	902	543
624	903	542
625	904	540
626	906	539
627	907	537
628	908	536
629	910	534
630	911	533
631	913	531
632	914	530
633	916	529
634	918	527
635	919	526
636	920	524
637	921	523
638	923	521
639	924	520
640	926	518
641	927	517
642	928	515
643	930	514
644	931	512
645	933	511
646	934	510
647	936	508
648	937	507
649	939	505
650	940	504
651	941	502
652	943	501
653	944	499
654	946	498
655	947	497
656	949	495
657	950	494
658	952	492
659	953	491
660	954	489
661	956	488
662	957	486
663	958	485
664	960	483
665	961	482
666	962	480
667	964	479
668	965	477
669	966	476
670	968	474
671	969	473
672	971	471
673	972	470
674	973	468
675	974	467
676	976	465
677	977	464
678	979	462
679	980	461
680	982	460
681	983	458
682	984	457
683	985	455
684	987	454
685	988	452
686	990	451
687	991	449
688	993	448
689	994	446
690	996	445
691	997	444
692	999	442
693	1000	441
694	1001	439
695	1003	438
696	1004	436
697	1005	435
698	1007	433
699	1008	432
700	1009	430
701	1011	429
702	1012	427
703	1014	426
704	1015	424
705	1016	423
706	1018	422
707	1019	420
708	1021	419
709	1022	417
710	1023	416
711	1024	414
712	1026	413
713	1028	411
714	1029	410
715	1030	408
716	1032	407
717	1033	405
718	1034	404
719	1036	402
720	1037	401
721	1038	400
722	1040	398
723	1041	396
724	1042	395
725	1044	394
726	1045	392
727	1047	391
728	1048	389
729	1049	388
730	1050	386
731	1052	385
732	1053	383
733	1054	382
734	1056	380
735	1057	379
736	1058	377
737	1060	376
738	1062	375
739	1063	373
740	1064	372
741	1066	370
742	1067	369
743	1068	367
744	1069	366
745	1071	364
746	1072	363
747	1073	361
748	1074	360
749	1076	358
750	1078	357
751	1079	355
752	1080	354
753	1081	352
754	1083	351
755	1084	349
756	1085	348
757	1087	347
758	1088	345
759	1089	344
760	1091	342
761	1092	341
762	1093	339
763	1094	338
764	1096	336
765	1097	335
766	1098	333
767	1100	332
768	1101	330
769	1102	329
770	1103	327
771	1105	326
772	1106	324
773	1108	323
774	1109	322
775	1111	320
776	1112	319
777	1113	317
778	1114	316
779	1116	314
780	1117	313
781	1119	311
782	1120	310
783	1121	309
784	1123	307
785	1125	306
786	1127	305
787	1128	303
788	1129	302
789	1131	300
790	1132	299
791	1133	297
792	1135	296
793	1136	294
794	1137	293
795	1139	291
796	1141	290
797	1142	289
798	1144	287
799	1145	286
800	1146	284
801	1148	283
802	1149	282
803	1150	280
804	1152	279
805	1153	277
806	1155	276
807	1156	274
808	1158	273
809	1159	272
810	1161	270
811	1162	269
812	1163	267
813	1165	266
814	1166	264
815	1168	263
816	1169	261
817	1170	260
818	1172	259
819	1174	257
820	1175	256
821	1177	254
822	1178	253
823	1179	251
824	1181	250
825	1182	249
826	1183	247
827	1185	246
828	1186	244
829	1188	243
830	1189	242
831	1191	240
832	1192	239
833	1193	237
834	1195	236
835	1196	234
836	1198	233
837	1199	231
838	1200	230
839	1202	229
840	1203	227
841	1205	226
842	1206	224
843	1208	223
844	1209	221
845	1211	220
846	1212	219
847	1213	217
848	1215	216
849	1216	214
850	1217	213
851	1219	211
852	1220	210
853	1222	208
854	1223	207
855	1224	206
856	1226	204
857	1227	203
858	1229	201
859	1230	200
860	1231	198
861	1232	197
862	1234	195
863	1235	194
864	1236	193
865	1238	191
866	1239	190
867	1240	188
868	1241	187
869	1243	185
870	1244	184
871	1245	182
872	1247	181
873	1248	179
874	1249	178
875	1250	177
876	1252	175
877	1253	174
878	1255	172
879	1256	171
880	1257	169
881	1259	168
882	1260	167
883	1261	165
884	1263	164
885	1264	162
886	1265	161
887	1266	159
888	1268	158
889	1270	156
890	1271	155
891	1273	154
892	1274	152
893	1275	151
894	1277	149
895	1278	148
896	1279	146
897	1281	145
898	1282	144
899	1283	142
900	1285	141
901	1287	139
902	1288	138
903	1290	137
904	1291	135
905	1292	134
906	1294	132
907	1296	131
908	1297	129
909	1298	128
910	1300	127
911	1302	125
912	1303	124
913	1305	122
914	1306	121
915	1308	119
916	1309	118
917	1310	117
918	1311	115
919	1313	114
920	1314	112
921	1316	111
922	1318	109
923	1319	108
924	1321	107
925	1322	105
926	1323	104
927	1325	102
928	1326	101
929	1327	99
930	1329	98
931	1330	97
932	1332	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1339	88
938	1340	87
939	1342	85
940	1343	84
941	1344	82
942	1346	81
943	1347	79
944	1349	78
945	1350	77
946	1352	75
947	1353	74
948	1354	72
949	1356	71
950	1357	69
951	1358	68
952	1360	67
953	1361	65
954	1362	64
955	1364	62
956	1366	61
957	1367	59
958	1368	58
959	1370	57
960	1371	55
961	1372	54
962	1374	52
963	1375	51
964	1377	49
965	1378	48
966	1379	47
967	1381	45
968	1382	44
969	1384	42
970	1385	41
971	1386	39
972	1388	38
973	1389	37
974	1391	35
975	1392	34
976	1393	32
977	1394	31
978	1396	29
979	1398	28
980	1399	27
981	1401	25
982	1402	24
983	1403	22
984	1404	21
985	1406	19
986	1407	18
987	1409	17
988	1410	15
989	1411	14
990	1413	12
991	1414	11
992	1416	9
993	1417	8
994	1418	7
995	1420	5
996	1421	4
997	1423	2
998	1424	1
999	1426	0
