iter	RMSE
233	11.03579383
234	11.03286217
235	11.02916122
236	11.02748328
237	11.02399499
238	11.02127095
239	11.01964026
240	11.0168276
241	11.01268858
242	11.01021827
243	11.0074892
244	11.00551448
245	11.00169825
246	10.99809346
247	10.996365
248	10.99452813
249	10.99222278
250	10.98846487
251	10.98596305
252	10.98232999
253	10.98034752
254	10.97704032
255	10.97576094
256	10.97241963
257	10.96881599
258	10.96711438
259	10.96387657
260	10.96233823
261	10.9601143
262	10.95714758
263	10.95423075
264	10.95268483
265	10.94969083
266	10.94768467
267	10.94644296
268	10.94433348
269	10.94145034
270	10.93977176
271	10.93752299
272	10.93562252
273	10.93298151
274	10.9311556
275	10.92791085
276	10.92633097
277	10.92408703
278	10.92329377
279	10.92139909
280	10.91844072
281	10.91574334
282	10.91414406
283	10.91215382
284	10.91034651
285	10.9084151
286	10.90710142
287	10.90580924
288	10.90453736
289	10.90176825
290	10.89841812
291	10.89663349
292	10.89483418
293	10.89296703
294	10.89157513
295	10.88897308
296	10.88722608
297	10.88474153
298	10.88326986
299	10.88187641
300	10.88012306
301	10.87769024
302	10.8760842
303	10.87379431
304	10.87132903
305	10.87047634
306	10.86931619
307	10.86814696
308	10.86705551
309	10.86518786
310	10.86292954
311	10.86109788
312	10.86014663
313	10.85898807
314	10.85684547
315	10.85529967
316	10.85400381
317	10.85296012
318	10.85176446
319	10.85031854
320	10.84830912
321	10.84683753
322	10.8458244
323	10.8435259
324	10.84253058
325	10.84092917
326	10.83965841
327	10.83736891
328	10.83596273
329	10.8336425
330	10.83256266
331	10.83174528
332	10.83047837
333	10.82842286
334	10.82696936
335	10.82605977
336	10.82385692
337	10.82170187
338	10.82103012
339	10.81980989
340	10.81893955
341	10.81692146
342	10.81551932
343	10.81449318
344	10.81237905
345	10.81154959
346	10.8099639
347	10.80805186
348	10.80656812
349	10.80576089
350	10.80330299
351	10.80223727
352	10.80051237
353	10.7995332
354	10.79833513
355	10.79695775
356	10.79531864
357	10.79395172
358	10.7924309
359	10.79171762
360	10.7901702
361	10.78823801
362	10.78698465
363	10.78514771
364	10.7839609
365	10.78266936
366	10.78144655
367	10.7796404
368	10.77863843
369	10.77757696
370	10.77641572
371	10.77567259
372	10.77463607
373	10.77340771
374	10.77182812
375	10.77089221
376	10.76990384
377	10.76919635
378	10.76851076
379	10.76764521
380	10.76668965
381	10.76602124
382	10.76516901
383	10.76443162
384	10.76289949
385	10.76134199
386	10.76066243
387	10.75907443
388	10.75774448
389	10.75644004
390	10.75566134
391	10.75506222
392	10.75354735
393	10.75307331
394	10.75249927
395	10.75105534
396	10.74967093
397	10.74850878
398	10.74683398
399	10.74573718
400	10.74378481
401	10.74232888
402	10.74176455
403	10.74101146
404	10.73970006
405	10.7386804
406	10.73731376
407	10.73682086
408	10.73545064
409	10.73428489
410	10.73308059
411	10.73204409
412	10.73148711
413	10.73071604
414	10.72941039
415	10.72820148
416	10.72691008
417	10.72540361
418	10.72427354
419	10.72278266
420	10.72215288
421	10.72120208
422	10.71962692
423	10.7191746
424	10.71869557
425	10.71775158
426	10.71656823
427	10.71549175
428	10.7145508
429	10.71346978
430	10.7129652
431	10.71247979
432	10.71150153
433	10.7104479
434	10.71006317
435	10.70939399
436	10.70847989
437	10.70710584
438	10.7067086
439	10.70594994
440	10.70522808
441	10.70416421
442	10.70280353
443	10.70220398
444	10.70155996
445	10.70111288
446	10.6999395
447	10.69853188
448	10.69794146
449	10.6966712
450	10.69616397
451	10.6952067
452	10.69431025
453	10.69309206
454	10.69179408
455	10.69095844
456	10.69034911
457	10.68903564
458	10.68857529
459	10.68734097
460	10.68609133
461	10.68454836
462	10.68387993
463	10.68242838
464	10.68137096
465	10.68073796
466	10.67945234
467	10.67833113
468	10.67794759
469	10.67691444
470	10.67600354
471	10.67509879
472	10.67440177
473	10.67333933
474	10.67250122
475	10.67217888
476	10.67120674
477	10.67085089
478	10.66998602
479	10.66925798
480	10.6685762
481	10.66722037
482	10.66643469
483	10.66581276
484	10.66518507
485	10.66438649
486	10.66408068
487	10.66353075
488	10.66256015
489	10.66168496
490	10.66129351
491	10.66073567
492	10.65998837
493	10.65920045
494	10.65856908
495	10.65822341
496	10.65723885
497	10.65672345
498	10.65603414
499	10.65515156
500	10.6548293
501	10.65433643
502	10.65373932
503	10.653432
504	10.65251582
505	10.65193682
506	10.65112896
507	10.65040722
508	10.65013849
509	10.64962585
510	10.64891654
511	10.64803078
512	10.6473638
513	10.64657181
514	10.64560307
515	10.64491393
516	10.64472484
517	10.6440269
518	10.64371851
519	10.64321585
520	10.64253437
521	10.64226632
522	10.64159942
523	10.64087133
524	10.64054621
525	10.64018554
526	10.63974522
527	10.63944616
528	10.63860856
529	10.63814706
530	10.63773037
531	10.63716867
532	10.63655974
533	10.63602749
534	10.63523931
535	10.63495169
536	10.63407352
537	10.63338387
538	10.63289962
539	10.63225291
540	10.63166444
541	10.6310059
542	10.63029124
543	10.62974364
544	10.62949807
545	10.62881745
546	10.62829051
547	10.62761992
548	10.6270289
549	10.62657589
550	10.62553886
551	10.62518973
552	10.62464512
553	10.62401192
554	10.62368035
555	10.62283562
556	10.62233253
557	10.62177506
558	10.62141255
559	10.62080014
560	10.62044328
561	10.61936068
562	10.61870971
563	10.61829545
564	10.61756426
565	10.61700263
566	10.61644671
567	10.61561897
568	10.61460506
569	10.61367291
570	10.61346191
571	10.6130086
572	10.61247216
573	10.61152159
574	10.61075218
575	10.61032638
576	10.61003336
577	10.60977575
578	10.60909345
579	10.6085177
580	10.6078899
581	10.60729897
582	10.60685267
583	10.60646115
584	10.60599811
585	10.60576165
586	10.60525624
587	10.60431893
588	10.60387584
589	10.60341962
590	10.60277108
591	10.60210554
592	10.60181994
593	10.60150904
594	10.60133985
595	10.6010552
596	10.6004633
597	10.60028048
598	10.5999397
599	10.59951407
600	10.59931419
601	10.59904549
602	10.59827442
603	10.59806039
604	10.59774632
605	10.59734268
606	10.5969296
607	10.59666725
608	10.59615044
609	10.59586903
610	10.59559811
611	10.59510425
612	10.59471235
613	10.59421796
614	10.59361557
615	10.5930447
616	10.59257025
617	10.5918796
618	10.59149501
619	10.59096707
620	10.59060979
621	10.58973147
622	10.58928222
623	10.58891643
624	10.58788155
625	10.58734265
626	10.58709667
627	10.58659422
628	10.5858756
629	10.58543809
630	10.58501553
631	10.58465061
632	10.58441348
633	10.58400337
634	10.58354955
635	10.58309931
636	10.58274436
637	10.5824577
638	10.58206393
639	10.58158152
640	10.58077221
641	10.5803865
642	10.58018137
643	10.57974386
644	10.57934871
645	10.57917923
646	10.5786611
647	10.57828121
648	10.57778473
649	10.577309
650	10.5763656
651	10.57617741
652	10.57594294
653	10.57550183
654	10.57541042
655	10.57508412
656	10.57456373
657	10.57435203
658	10.57404548
659	10.57324742
660	10.57289796
661	10.57238532
662	10.5720759
663	10.57141837
664	10.57107338
665	10.57051124
666	10.57006345
667	10.5698694
668	10.56964507
669	10.5692092
670	10.56889054
671	10.56844172
672	10.56834766
673	10.56797779
674	10.56740118
675	10.56698867
676	10.56641453
677	10.5661185
678	10.56603324
679	10.56574602
680	10.56539582
681	10.56508512
682	10.56484647
683	10.56429004
684	10.56391984
685	10.5636126
686	10.56328839
687	10.56299516
688	10.56281981
689	10.56259367
690	10.56216282
691	10.56177731
692	10.56094145
693	10.56044566
694	10.55993068
695	10.55974538
696	10.55916699
697	10.55883228
698	10.55832752
699	10.55793167
700	10.55753714
701	10.55723733
702	10.55656559
703	10.5562726
704	10.55597045
705	10.55560481
706	10.55515398
707	10.55470677
708	10.55452198
709	10.55412414
710	10.55329223
711	10.55312932
712	10.55274583
713	10.55247174
714	10.55220211
715	10.55188732
716	10.55157871
717	10.55120537
718	10.55088046
719	10.55066049
720	10.55051513
721	10.55029953
722	10.54982893
723	10.54908507
724	10.54865549
725	10.548336
726	10.54802984
727	10.54773556
728	10.54726733
729	10.54710278
730	10.54689482
731	10.54638034
732	10.54594955
733	10.54554338
734	10.54538685
735	10.54495246
736	10.54463091
737	10.54412079
738	10.54386905
739	10.54354949
740	10.54328261
741	10.54302675
742	10.54274178
743	10.54245538
744	10.54226931
745	10.5418945
746	10.54148432
747	10.54123587
748	10.54093821
749	10.54067027
750	10.54036328
751	10.54007379
752	10.539398
753	10.53912847
754	10.53892888
755	10.5386512
756	10.53829348
757	10.53795823
758	10.53783376
759	10.53770385
760	10.53754275
761	10.53725903
762	10.53690534
763	10.5366866
764	10.53643033
765	10.53609062
766	10.53575221
767	10.53542597
768	10.53517399
769	10.53491137
770	10.5347285
771	10.53412861
772	10.53374169
773	10.53335152
774	10.53308714
775	10.53272
776	10.53257125
777	10.53245442
778	10.53210505
779	10.53176963
780	10.53143775
781	10.53128789
782	10.53101443
783	10.53046734
784	10.53027124
785	10.52993303
786	10.52962401
787	10.52931704
788	10.5288716
789	10.52864199
790	10.52854183
791	10.52804154
792	10.52781959
793	10.52758785
794	10.52703199
795	10.52680882
796	10.52672629
797	10.52647604
798	10.5262242
799	10.52603188
800	10.52577162
801	10.52555585
802	10.52503193
803	10.52471917
804	10.5243782
805	10.52417024
806	10.52396905
807	10.52365248
808	10.5234392
809	10.52317486
810	10.52303896
811	10.52294889
812	10.5228698
813	10.52269332
814	10.52256213
815	10.52236691
816	10.52212467
817	10.52189716
818	10.52169967
819	10.52134524
820	10.52105533
821	10.52084827
822	10.52028102
823	10.52009649
824	10.51991994
825	10.51965244
826	10.51952464
827	10.51929936
828	10.51912439
829	10.51883205
830	10.51853822
831	10.51820876
832	10.51804422
833	10.51777943
834	10.51741967
835	10.5170981
836	10.51689868
837	10.51682296
838	10.51660984
839	10.51643383
840	10.51630201
841	10.51611994
842	10.51591983
843	10.51578588
844	10.51559976
845	10.51546388
846	10.51521019
847	10.51489818
848	10.51460151
849	10.51442883
850	10.51419786
851	10.51402254
852	10.51389853
853	10.51362525
854	10.51337256
855	10.51308719
856	10.51284065
857	10.51265824
858	10.51249053
859	10.51229073
860	10.51184154
861	10.51168471
862	10.51149576
863	10.5113866
864	10.51095823
865	10.51084688
866	10.51055867
867	10.51034528
868	10.51004179
869	10.50987213
870	10.50971846
871	10.50960697
872	10.50940909
873	10.50928811
874	10.50912885
875	10.5087443
876	10.50864209
877	10.50851351
878	10.50822823
879	10.50804114
880	10.50778617
881	10.5075828
882	10.50747496
883	10.50730897
884	10.50693163
885	10.50679217
886	10.50659572
887	10.50648604
888	10.50633507
889	10.50614486
890	10.50591774
891	10.50568069
892	10.50540939
893	10.50522738
894	10.50498596
895	10.50483327
896	10.50470067
897	10.50456828
898	10.5043801
899	10.50423231
900	10.50401186
901	10.50379446
902	10.50357648
903	10.50342761
904	10.5031886
905	10.50306283
906	10.5029341
907	10.50279214
908	10.50253381
909	10.5023699
910	10.50227089
911	10.50210998
912	10.50205392
913	10.50182971
914	10.50162732
915	10.50148945
916	10.50139472
917	10.50118046
918	10.50071898
919	10.50051525
920	10.50039571
921	10.50016045
922	10.49993392
923	10.49982455
924	10.4997326
925	10.49958158
926	10.49915026
927	10.49887403
928	10.4987474
929	10.49849405
930	10.49839397
931	10.49826676
932	10.49814669
933	10.49795491
934	10.49773745
935	10.49734407
936	10.49715959
937	10.49708602
938	10.49690194
939	10.4966882
940	10.49656607
941	10.496487
942	10.49629728
943	10.49617595
944	10.49582654
945	10.49571432
946	10.49551188
947	10.49518324
948	10.49505656
949	10.49481487
950	10.49463883
951	10.49453109
952	10.49444755
953	10.49436314
954	10.49418535
955	10.49407622
956	10.49389445
957	10.49369492
958	10.49360369
959	10.49353087
960	10.49340679
961	10.49329436
962	10.49315506
963	10.49291073
964	10.49280915
965	10.49270876
966	10.49257886
967	10.49249509
968	10.49232667
969	10.49224564
970	10.49204657
971	10.49187816
972	10.49169339
973	10.49161608
974	10.49131925
975	10.49108992
976	10.49086685
977	10.49080881
978	10.49072843
979	10.49051817
980	10.49040724
981	10.49030068
982	10.49013778
983	10.48998484
984	10.48990484
985	10.48986941
986	10.48979553
987	10.48971722
988	10.48956879
989	10.4894235
990	10.4892608
991	10.48915795
992	10.48910685
993	10.48892488
994	10.48883792
995	10.48868939
996	10.48854133
997	10.48840001
998	10.48832577
999	10.48823336
